number,name,city,state,country,postcode,latitude,longitude,offset,description,created_at,address_id
5818,Avenida da Democracia,Rio Claro,Santa Catarina,Brazil,14130,12.8515,18.9152,+5:45,Kathmandu,2022-03-14,16
886,Grove Road,Listowel,Sligo,Ireland,60416,30.2249,-82.2014,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,17
7932,Wiesenstraße,Bad Oldesloe,Rheinland-Pfalz,Germany,91495,-81.4605,176.1300,+2:00,"Kaliningrad, South Africa",2022-03-14,18
6257,Filistin Cd,Konya,Kilis,Turkey,62882,19.3192,6.2312,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,19
7796,Calle de La Democracia,Elche,Navarra,Spain,79006,-16.6940,84.1635,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,20
4079,Frogner terrasse,Svelvik,Rogaland,Norway,3928,40.8499,172.4970,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,21
8462,Hogan St,Utica,Arkansas,United States,32206,78.6604,67.6442,+3:30,Tehran,2022-03-14,22
7601,Nordenskiöldinkatu,Kustavi,Central Finland,Finland,47450,-72.2506,-153.1819,0:00,"Western Europe Time, London, Lisbon, Casablanca",2022-03-14,23
3903,Rue de la Mairie,Tours,Cantal,France,68577,6.5513,119.1693,-11:00,"Midway Island, Samoa",2022-03-14,24
2572,Killarney Road,Kinsealy-Drinan,Dún Laoghaire–Rathdown,Ireland,30947,-61.6591,-143.8187,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,25
1547,Ponsonby Road,Hastings,Canterbury,New Zealand,45602,86.8760,-155.6011,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,26
9036,Avenue de la Libération,Dallenwil,Genève,Switzerland,8166,28.7152,78.1141,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,27
8726,Maple Ave,Brockton,Nunavut,Canada,C6R 1Y3,59.0214,171.7099,0:00,"Western Europe Time, London, Lisbon, Casablanca",2022-03-14,28
9835,Rue du 8 Mai 1945,Mettauertal,Ticino,Switzerland,8641,30.5640,148.6320,+4:30,Kabul,2022-03-14,29
368,Heideweg,Vallendar,Berlin,Germany,30647,73.8178,105.4806,-7:00,Mountain Time (US & Canada),2022-03-14,30
7134,Pt Chevalier Road,Taupo,Hawke'S Bay,New Zealand,18328,13.2195,-100.0452,-8:00,Pacific Time (US & Canada),2022-03-14,31
763,Avenida da Democracia,Santa Bárbara D'Oeste,Tocantins,Brazil,73776,-9.0118,-115.7868,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,32
7869,Rue Pierre-Delore,Dijon,Cantal,France,50440,-14.7640,-175.2212,+9:30,"Adelaide, Darwin",2022-03-14,33
1893,Travessa dos Açorianos,Formosa,Tocantins,Brazil,39962,52.5797,80.1340,-9:00,Alaska,2022-03-14,34
2043,Rua Sete de Setembro ,Marabá,Paraná,Brazil,97316,54.8510,-107.3886,-8:00,Pacific Time (US & Canada),2022-03-14,35
6913,Kiefernweg,Beckum,Berlin,Germany,22996,38.4924,-87.4024,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,36
5859,Drosselweg,Stadtlohn,Berlin,Germany,85794,34.1987,178.9303,+5:45,Kathmandu,2022-03-14,37
3503,Main Road,City of London,Borders,United Kingdom,Q1B 9RG,-68.9378,-91.8455,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,38
834,Hermiankatu,Ikaalinen,Central Ostrobothnia,Finland,85462,15.9989,-79.4383,+9:30,"Adelaide, Darwin",2022-03-14,39
5143,W Belt Line Rd,Launceston,Queensland,Australia,3204,-63.3157,161.5575,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,40
3440,Rue du Village,Oeschenbach,Aargau,Switzerland,2254,83.2652,-148.0115,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,41
5699,Fjellgata,Terråk,Hedmark,Norway,9441,87.0333,93.7315,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,42
4225,میرزای شیرازی,نیشابور,سمنان,Iran,78732,79.5450,-132.1055,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,43
6743,Rua Sete de Setembro ,Almirante Tamandaré,Acre,Brazil,97158,23.4974,-147.1198,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,44
8512,شیخ فضل الله نوری,ایلام,هرمزگان,Iran,66076,-36.2838,-146.6857,-9:00,Alaska,2022-03-14,45
5376,Rue Barrier,Reigoldswil,Thurgau,Switzerland,6888,22.8282,-5.6446,+2:00,"Kaliningrad, South Africa",2022-03-14,46
2198,Bairds Road,Blenheim,Taranaki,New Zealand,34370,-65.9864,53.4227,+3:30,Tehran,2022-03-14,47
9268,Rue Baraban,Le Locle,Fribourg,Switzerland,7702,-10.5322,126.7583,-12:00,"Eniwetok, Kwajalein",2022-03-14,48
6738,Rue André-Gide,Clavaleyres,Nidwalden,Switzerland,7050,23.2812,-122.4701,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,49
9633,Fredrikinkatu,Pomarkku,Northern Ostrobothnia,Finland,10504,-80.4922,45.0083,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,50
2469,Depaul Dr,Lewisville,Kentucky,United States,68329,0.5500,131.7617,+5:45,Kathmandu,2022-03-14,51
1625,Joussenwei,Bontebok,Limburg,Netherlands,22952,34.4372,-1.0301,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,52
9720,Highfield Road,Carrick-on-Shannon,Longford,Ireland,38985,15.3087,-128.8849,+9:30,"Adelaide, Darwin",2022-03-14,53
9661,Rue Paul-Duvivier,Avignon,Yvelines,France,94738,-78.2499,-46.7193,+9:30,"Adelaide, Darwin",2022-03-14,54
6283,Avenida da Democracia,Botucatu,São Paulo,Brazil,57175,-67.1968,-26.7772,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,55
3192,Åsumvej,Haslev,Danmark,Denmark,57993,-16.2917,-16.0219,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,56
3830,Rue Chazière,Renan (Be),Schwyz,Switzerland,4243,74.4343,-81.2766,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,57
1628,Mill Road,Manchester,Rutland,United Kingdom,O38 7AW,-61.7262,-46.4760,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,58
9806,Mokoia Road,Blenheim,Otago,New Zealand,17697,-30.3355,-66.6554,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,59
6875,Fredrikinkatu,Hyrynsalmi,Kymenlaakso,Finland,84703,51.9984,22.5471,+5:45,Kathmandu,2022-03-14,60
6892,Birkenstraße,Blankenhain,Bremen,Germany,73412,-4.3793,-12.6547,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,61
3825,ایران,بوشهر,قزوین,Iran,57464,14.3610,-39.2726,-12:00,"Eniwetok, Kwajalein",2022-03-14,62
7744,Hämeentie,Raisio,Uusimaa,Finland,89714,-40.5251,-39.5163,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,63
5540,Mockingbird Ln,Bathurst,Tasmania,Australia,5274,11.8583,47.2321,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,64
5244,Rue Duquesne,Le Havre,Côtes-D'Armor,France,79469,-19.7122,-6.2853,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,65
7351,Saddle Dr,Rockhampton,Australian Capital Territory,Australia,9814,-10.5621,169.1371,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,66
6233,Rue Docteur-Bonhomme,Eich,Zürich,Switzerland,7297,62.1001,-76.0198,-12:00,"Eniwetok, Kwajalein",2022-03-14,67
6943,Rua Belo Horizonte ,Indaiatuba,Santa Catarina,Brazil,78110,-25.5986,-135.7462,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,68
3744,Prospect Rd,Allentown,Louisiana,United States,34410,63.2161,18.0350,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,69
6397,آزادی,گرگان,کرمانشاه,Iran,34833,86.0055,109.6507,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,70
1337,Siilitie,Konnevesi,Tavastia Proper,Finland,18636,27.7780,-102.0561,-10:00,Hawaii,2022-03-14,71
3982,سبلان جنوبی,قرچک,کرمان,Iran,25077,-82.0463,-160.3565,-3:30,Newfoundland,2022-03-14,72
6512,Abanoz Sk,Sivas,Batman,Turkey,42315,14.5028,-67.1275,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,73
7127,Church Lane,Clonmel,Leitrim,Ireland,30363,44.0401,-67.4849,+5:45,Kathmandu,2022-03-14,74
5308,Avenida de América,Mérida,Asturias,Spain,14775,31.2929,-42.0999,-8:00,Pacific Time (US & Canada),2022-03-14,75
1063,Rua Santa Maria ,Caraguatatuba,Amapá,Brazil,95415,77.1300,-159.7784,+4:30,Kabul,2022-03-14,76
4646,Landerokollen,Solerød,Finnmark - Finnmárku,Norway,9717,-53.7695,67.1759,-10:00,Hawaii,2022-03-14,77
8121,Strandparken,Øster Assels,Syddanmark,Denmark,74647,-31.1554,53.3171,+3:30,Tehran,2022-03-14,78
446,The Grove,Salisbury,Hertfordshire,United Kingdom,G0 6YH,-21.8103,100.0878,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,79
9028,Anafartalar Cd,Kayseri,Nevşehir,Turkey,24638,-55.7577,-77.0562,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,80
6966,Talstraße,Bernsdorf,Bremen,Germany,30336,-6.2872,39.7913,+4:30,Kabul,2022-03-14,81
5235,Mcclellan Rd,Fullerton,Virginia,United States,25387,52.8870,-40.9736,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,82
8299,Coronation Avenue,Wellington,Taranaki,New Zealand,11926,-48.8473,-76.3645,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,83
3391,Talak Göktepe Cd,Sinop,Mersin,Turkey,40136,85.0880,-149.6305,+4:30,Kabul,2022-03-14,84
2377,Houtmolestreekje,Westland,Gelderland,Netherlands,14669,28.4713,-101.4086,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,85
2619,آفریقا,سبزوار,بوشهر,Iran,15315,-83.2139,14.9140,-11:00,"Midway Island, Samoa",2022-03-14,86
9077,Place de L'Abbé-Franz-Stock,Boulogne-Billancourt,Calvados,France,66523,35.8765,41.6193,-8:00,Pacific Time (US & Canada),2022-03-14,87
5458,Rua João Xxiii,Ananindeua,Amapá,Brazil,62391,76.2627,-136.4768,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,88
5701,Manukau Road,Upper Hutt,Tasman,New Zealand,79355,89.7855,150.4250,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,89
861,Spring St,Frederick,Tennessee,United States,48390,-16.2216,-142.0844,+2:00,"Kaliningrad, South Africa",2022-03-14,90
9553,Birkenstraße,Deggendorf,Nordrhein-Westfalen,Germany,91857,43.3941,171.0103,-8:00,Pacific Time (US & Canada),2022-03-14,91
4819,Church Street,Coventry,Fife,United Kingdom,YZ4T 6HW,-34.6358,-95.1995,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,92
750,Avenida da Democracia,Botucatu,Sergipe,Brazil,37836,45.0307,132.2193,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,93
1254,Plum St,Hervey Bay,Queensland,Australia,6039,-87.9835,-149.4648,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,94
2371,Station Road,Portmarnock,Westmeath,Ireland,61531,80.6340,-47.9165,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,95
6981,Rua Dezenove de Outubro,Atibaia,Paraíba,Brazil,46649,-38.0536,143.9985,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,96
2103,Daisy Dr,Boise,Idaho,United States,78883,34.0537,-133.2723,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,97
9797,Raiffeisenstraße,Osnabrück,Thüringen,Germany,60423,-23.4867,-56.2602,+2:00,"Kaliningrad, South Africa",2022-03-14,98
1621,Rue de Bonnel,Bière,Jura,Switzerland,6190,-49.3744,-28.7454,-12:00,"Eniwetok, Kwajalein",2022-03-14,99
2592,Tweed Street,Greymouth,Southland,New Zealand,17997,47.1793,-33.6616,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,100
6676,Avenida de Salamanca,Vitoria,Comunidad Valenciana,Spain,90596,-69.2210,83.4513,-7:00,Mountain Time (US & Canada),2022-03-14,101
1928,Rua Três,Itaboraí,Bahia,Brazil,59181,-34.5457,-171.2690,-10:00,Hawaii,2022-03-14,102
5087,Rua Quatro,Maceió,Amapá,Brazil,35961,-63.6465,-99.3033,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,103
1871,Calle del Barquillo,La Palma,Melilla,Spain,46697,-52.4305,123.4766,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,104
547,Hamiltonlaan,Roodkerk,Noord-Brabant,Netherlands,40663,26.8549,43.0337,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,105
786,Rua Santa Luzia ,Vila Velha,Piauí,Brazil,14360,58.7135,-21.6572,+3:30,Tehran,2022-03-14,106
547,Middelthuns gate,Årdalstangen,Akershus,Norway,0033,74.3286,-144.4105,+5:45,Kathmandu,2022-03-14,107
1414,Hillside Road,Taupo,Manawatu-Wanganui,New Zealand,18202,-45.9427,63.5207,-10:00,Hawaii,2022-03-14,108
9398,شهید آقاسرمدیان,نجف‌آباد,خراسان جنوبی,Iran,66890,63.2511,109.1230,+2:00,"Kaliningrad, South Africa",2022-03-14,109
3160,Hamilton Ave,Escondido,North Dakota,United States,81664,-41.8426,1.8416,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,110
534,Rua Treze ,Olinda,Sergipe,Brazil,10021,23.3639,22.4910,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,111
1501,Kampschutterslaan,Weesp,Utrecht,Netherlands,75795,9.5580,-51.9745,+5:45,Kathmandu,2022-03-14,112
6377,Fatih Sultan Mehmet Cd,Bartın,Balıkesir,Turkey,38225,-18.3215,-58.7170,-7:00,Mountain Time (US & Canada),2022-03-14,113
5726,Concession Road 6,Clinton,Prince Edward Island,Canada,E4C 8B9,32.4691,138.9705,-8:00,Pacific Time (US & Canada),2022-03-14,114
9866,Rue de L'Abbé-Grégoire,Bottmingen,Uri,Switzerland,8333,30.0228,86.1872,-1:00,"Azores, Cape Verde Islands",2022-03-14,115
3106,Gamle Hovsetervei,Slåttevik,Nord-Trøndelag,Norway,0957,-25.2748,-45.0167,-10:00,Hawaii,2022-03-14,116
8691,Calle Covadonga,Logroño,Cataluña,Spain,75087,-21.6655,-82.5765,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,117
8342,Rua Santos Dumont ,Itapevi,Tocantins,Brazil,61096,-3.8678,81.0087,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,118
8175,Rattray Street,Gisborne,Manawatu-Wanganui,New Zealand,47347,43.5689,133.4409,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,119
4240,Rua Vinte E Dois ,Gravataí,Distrito Federal,Brazil,79491,85.6764,-153.5041,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,120
2680,Lindenweg,Niemegk,Niedersachsen,Germany,88342,-80.7727,-178.9971,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,121
2192,Aagots vei,Leira,Buskerud,Norway,4852,-3.3333,-38.6536,+5:45,Kathmandu,2022-03-14,122
9915,Rue de L'Abbé-Gillet,Wiedlisbach,Neuchâtel,Switzerland,1483,58.0108,-26.6964,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,123
2629,اجاره دار,قدس,فارس,Iran,11613,-32.8308,8.3626,0:00,"Western Europe Time, London, Lisbon, Casablanca",2022-03-14,124
1627,Maçka Cd,Burdur,Kocaeli,Turkey,71675,-39.1163,-104.3605,+5:45,Kathmandu,2022-03-14,125
656,Daisy Dr,Traralgon,South Australia,Australia,4153,60.8094,-178.6342,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,126
6248,Køgevej,Aarhus N,Midtjylland,Denmark,60203,34.4763,152.0474,-9:00,Alaska,2022-03-14,127
6084,Rua Dom Pedro Ii ,Araucária,Rio de Janeiro,Brazil,57632,-48.4630,110.8201,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,128
4451,E Center St,Maitland,Northern Territory,Australia,8611,-56.5134,-35.6551,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,129
5617,Talak Göktepe Cd,Kastamonu,Mersin,Turkey,13823,-70.4733,-76.9100,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,130
1807,Dame Street,Mallow,Dún Laoghaire–Rathdown,Ireland,69884,84.7435,-128.6432,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,131
4671,Lerchenweg,Rottweil,Schleswig-Holstein,Germany,81201,-41.5422,-89.4939,-10:00,Hawaii,2022-03-14,132
7279,Avenue Debrousse,Gland,Glarus,Switzerland,6993,39.9390,-172.2937,-8:00,Pacific Time (US & Canada),2022-03-14,133
4475,شهید همت,نجف‌آباد,گلستان,Iran,55942,-79.9074,-124.8195,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,134
1255,22nd Ave,Westport,British Columbia,Canada,Z7L 6N6,-38.0327,-154.8650,-11:00,"Midway Island, Samoa",2022-03-14,135
2902,Schulstraße,Penkun,Mecklenburg-Vorpommern,Germany,97941,58.1859,50.5941,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,136
9501,Bulevardi,Vihanti,Pirkanmaa,Finland,43499,-15.9353,-58.9608,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,137
2595,Suvantokatu,Kihniö,Northern Ostrobothnia,Finland,11860,38.4933,-106.5530,-8:00,Pacific Time (US & Canada),2022-03-14,138
2592,Necatibey Cd,İzmir,Batman,Turkey,28123,37.2329,99.2364,-7:00,Mountain Time (US & Canada),2022-03-14,139
3374,Calle de Téllez,Valladolid,Melilla,Spain,67629,-31.6628,111.7188,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,140
2513,شهید گلپایگانی,بروجرد,یزد,Iran,63194,-29.7086,-33.9916,-9:00,Alaska,2022-03-14,141
8766,Lakeshore Rd,Columbia,Montana,United States,60741,50.3035,1.1441,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,142
3809,Country Club Rd,Dumas,Maine,United States,22587,-74.5085,102.9177,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,143
5587,Rue Dugas-Montbel,Oberdiessbach,Obwalden,Switzerland,3141,50.6950,148.5746,+4:30,Kabul,2022-03-14,144
3841,خاوران,سنندج,یزد,Iran,98269,87.4993,-26.9258,+4:30,Kabul,2022-03-14,145
5844,Windsor Road,Canterbury,Dyfed,United Kingdom,KB6 3EX,-3.2499,-122.6168,+4:30,Kabul,2022-03-14,146
5024,Ferguson Street,Rotorua,Taranaki,New Zealand,77557,50.2528,-8.7329,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,147
1005,Hatanpään Valtatie,Lohja,Kainuu,Finland,73364,-53.7081,143.2317,+4:30,Kabul,2022-03-14,148
5896,Friedhofstraße,Osterholz-Scharmbeck,Rheinland-Pfalz,Germany,69949,30.6131,119.7049,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,149
9129,Højvang,Nykøbing F,Danmark,Denmark,46970,12.0507,164.8416,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,150
2238,Mcclellan Rd,Nowra,Victoria,Australia,1971,41.9523,45.0453,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,151
348,Fatih Sultan Mehmet Cd,Isparta,Hakkâri,Turkey,27420,48.7462,82.1344,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,152
6980,Lakeshore Rd,Bunbury,Queensland,Australia,7714,-87.4638,-27.1198,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,153
521,Bekkelistubben,Molde,Aust-Agder,Norway,4671,76.4840,-108.6413,+4:30,Kabul,2022-03-14,154
9372,Stanley Way,St. George,Manitoba,Canada,Y6R 5R1,4.8291,-100.2633,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,155
8079,Prospect Rd,Shepparton,Tasmania,Australia,9614,78.8644,-156.9889,+9:30,"Adelaide, Darwin",2022-03-14,156
9514,Rue du Cardinal-Gerlier,Boulogne-Billancourt,Pyrénées-Atlantiques,France,68085,-67.6997,-27.0826,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,157
5906,Lakeview Ave,Campbellton,Newfoundland and Labrador,Canada,Q7Y 7D0,58.4427,-22.4491,-7:00,Mountain Time (US & Canada),2022-03-14,158
5536,Mill Road,Sunderland,Grampian,United Kingdom,T4U 0FJ,67.2792,-40.2612,+2:00,"Kaliningrad, South Africa",2022-03-14,159
6758,Quai Chauveau,Argenteuil,Manche,France,80559,-59.3040,92.4266,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,160
3766,Am Sportplatz,Zarrentin am Schaalsee,Hamburg,Germany,91634,15.6059,111.5957,-10:00,Hawaii,2022-03-14,161
3239,Søndermarken,Fredeikssund,Nordjylland,Denmark,28495,-80.9984,-172.7853,+2:00,"Kaliningrad, South Africa",2022-03-14,162
8969,Lambton Quay,Gisborne,Waikato,New Zealand,26169,14.0950,129.5295,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,163
6184,Aagade,Aarhus N,Danmark,Denmark,35982,6.0177,101.7472,-9:00,Alaska,2022-03-14,164
2305,Calle de La Almudena,Las Palmas de Gran Canaria,Región de Murcia,Spain,56414,-76.4799,-110.5868,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,165
6743,Berliner Straße,Gammertingen,Mecklenburg-Vorpommern,Germany,48866,43.8975,136.3668,-10:00,Hawaii,2022-03-14,166
2323,Kingsway,Belfast,Staffordshire,United Kingdom,H2V 6UT,35.9830,46.4021,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,167
9119,Grand Ave,Red Rock,Nova Scotia,Canada,N3Q 8R3,-60.8253,130.5795,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,168
110,Avenue Tony-Garnier,Lussery-Villars,Solothurn,Switzerland,1110,34.7875,110.7487,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,169
5583,Calle de Alberto Aguilera,San Sebastián de Los Reyes,Asturias,Spain,25342,8.6907,19.4847,+5:45,Kathmandu,2022-03-14,170
9167,Filistin Cd,Bayburt,Gaziantep,Turkey,56072,29.0293,-162.5591,-11:00,"Midway Island, Samoa",2022-03-14,171
7587,Hamilton Ave,Phoenix,Rhode Island,United States,11392,-65.5248,72.9315,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,172
2573,Esplanadi,Tyrnävä,Southern Ostrobothnia,Finland,55431,-84.3599,-53.8250,-10:00,Hawaii,2022-03-14,173
2930,Saddle Dr,Rockhampton,Northern Territory,Australia,7556,47.4976,174.4151,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,174
1759,Bep Wiersmastraat,Tolkamer,Friesland,Netherlands,40714,0.1778,158.3590,+4:30,Kabul,2022-03-14,175
4847,شهید استاد حسن بنا,کرمانشاه,خراسان جنوبی,Iran,73098,-40.7099,-119.3155,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,176
4713,New Brighton Road,Auckland,Southland,New Zealand,81251,4.5630,127.4644,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,177
9159,Calle de Ángel García,La Coruña,Extremadura,Spain,90091,13.3734,-95.7860,+4:30,Kabul,2022-03-14,178
2792,Houtvest,Laren,Gelderland,Netherlands,71827,-60.2582,-29.3246,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,179
6026,Fabriksvej,Allinge,Sjælland,Denmark,34281,16.7576,-15.7704,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,180
9124,College St,St. Louis,Texas,United States,99975,-8.5723,-114.3365,-7:00,Mountain Time (US & Canada),2022-03-14,181
2419,Carl Lundgrens vei,Berlevåg,Aust-Agder,Norway,9300,54.4407,156.5491,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,182
2352,مصطفی خمینی,ساوه,تهران,Iran,44334,-81.3064,-14.7689,+3:30,Tehran,2022-03-14,183
2359,Fredrikinkatu,Sund,Northern Ostrobothnia,Finland,99644,-15.3862,175.1965,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,184
5967,Gamlehagen,Odda,Trøndelag,Norway,1777,-18.5918,-84.2121,-7:00,Mountain Time (US & Canada),2022-03-14,185
495,Calle de La Democracia,Logroño,Cantabria,Spain,88837,69.1653,-45.8586,-1:00,"Azores, Cape Verde Islands",2022-03-14,186
1396,Cedar St,Georgetown,Manitoba,Canada,X7J 2N5,-52.3516,-13.6729,-9:00,Alaska,2022-03-14,187
